Date;Ibirapuera;Pinheiros
2 de novembro de 2017;1086;1161
3 de novembro de 2017;926;953
4 de novembro de 2017;782;802
5 de novembro de 2017;981;1145
6 de novembro de 2017;1461;1668
7 de novembro de 2017;1386;1535
8 de novembro de 2017;1182;1300
9 de novembro de 2017;1356;1481
10 de novembro de 2017;695;692
11 de novembro de 2017;2312;2392
12 de novembro de 2017;1518;1719
13 de novembro de 2017;1614;1835
14 de novembro de 2017;2092;2285
16 de novembro de 2017;889;992
17 de novembro de 2017;847;984
18 de novembro de 2017;987;1048
19 de novembro de 2017;888;1049
20 de novembro de 2017;1096;1236
21 de novembro de 2017;1096;1224
22 de novembro de 2017;1397;1514
23 de novembro de 2017;1402;1561
24 de novembro de 2017;1178;1252
25 de novembro de 2017;1620;1669
26 de novembro de 2017;766;928
27 de novembro de 2017;1530;1594
28 de novembro de 2017;1641;1796
29 de novembro de 2017;1416;1602
30 de novembro de 2017;1289;1414
1 de dezembro de 2017;833;896
2 de dezembro de 2017;1800;1857
3 de dezembro de 2017;1488;1645
4 de dezembro de 2017;1686;1873
5 de dezembro de 2017;1580;1777
6 de dezembro de 2017;1326;1455
7 de dezembro de 2017;1150;1290
8 de dezembro de 2017;958;1046
9 de dezembro de 2017;1882;2157
10 de dezembro de 2017;1336;1530
11 de dezembro de 2017;1463;1579
12 de dezembro de 2017;1521;1670
13 de dezembro de 2017;1538;1758
14 de dezembro de 2017;1398;1591
15 de dezembro de 2017;849;908
16 de dezembro de 2017;1760;1912
17 de dezembro de 2017;1365;1434
18 de dezembro de 2017;1435;1600
19 de dezembro de 2017;1202;1297
20 de dezembro de 2017;542;654
21 de dezembro de 2017;764;932
22 de dezembro de 2017;820;926
23 de dezembro de 2017;1045;1150
24 de dezembro de 2017;443;501
25 de dezembro de 2017;679;796
26 de dezembro de 2017;859;991
27 de dezembro de 2017;498;565
28 de dezembro de 2017;336;348
29 de dezembro de 2017;381;419
30 de dezembro de 2017;415;485
31 de dezembro de 2017;645;742
1 de janeiro de 2018;747;828
2 de janeiro de 2018;611;658
3 de janeiro de 2018;1241;1373
4 de janeiro de 2018;1060;1218
5 de janeiro de 2018;943;985
6 de janeiro de 2018;486;463
7 de janeiro de 2018;357;379
8 de janeiro de 2018;942;1085
9 de janeiro de 2018;1279;1396
10 de janeiro de 2018;1257;1348
11 de janeiro de 2018;1177;1344
12 de janeiro de 2018;682;736
13 de janeiro de 2018;1946;2172
14 de janeiro de 2018;1381;1569
15 de janeiro de 2018;1402;1526
16 de janeiro de 2018;1457;1638
17 de janeiro de 2018;1507;1800
18 de janeiro de 2018;1235;1432
19 de janeiro de 2018;1022;1089
20 de janeiro de 2018;2033;2320
21 de janeiro de 2018;1338;1493
22 de janeiro de 2018;1436;1650
23 de janeiro de 2018;1391;1561
24 de janeiro de 2018;1623;1801
25 de janeiro de 2018;755;843
26 de janeiro de 2018;866;938
27 de janeiro de 2018;2185;2312
28 de janeiro de 2018;1210;1320
29 de janeiro de 2018;896;1012
30 de janeiro de 2018;1607;1804
31 de janeiro de 2018;1722;1896
1 de fevereiro de 2018;1530;1734
2 de fevereiro de 2018;559;701
3 de fevereiro de 2018;1248;1593
4 de fevereiro de 2018;1556;1732
5 de fevereiro de 2018;1626;1814
6 de fevereiro de 2018;1846;2015
7 de fevereiro de 2018;1739;1970
8 de fevereiro de 2018;1625;1821
9 de fevereiro de 2018;416;521
10 de fevereiro de 2018;934;1339
11 de fevereiro de 2018;625;850
12 de fevereiro de 2018;526;686
13 de fevereiro de 2018;704;683
14 de fevereiro de 2018;1187;1351
15 de fevereiro de 2018;1366;1498
16 de fevereiro de 2018;675;889
17 de fevereiro de 2018;1311;1752
18 de fevereiro de 2018;1703;1915
19 de fevereiro de 2018;1717;1959
20 de fevereiro de 2018;1877;2166
21 de fevereiro de 2018;1724;1844
22 de fevereiro de 2018;1690;1939
23 de fevereiro de 2018;1284;1294
24 de fevereiro de 2018;2255;2397
25 de fevereiro de 2018;1394;1241
26 de fevereiro de 2018;1673;1988
27 de fevereiro de 2018;1984;2161
28 de fevereiro de 2018;1847;2040
1 de março de 2018;1580;1689
2 de março de 2018;1010;1171
3 de março de 2018;2130;2306
4 de março de 2018;1784;2041
5 de março de 2018;1789;1892
6 de março de 2018;1710;1836
7 de março de 2018;1487;1740
8 de março de 2018;1775;1975
9 de março de 2018;1057;1125
10 de março de 2018;2384;2542
11 de março de 2018;1765;1927
12 de março de 2018;1828;2069
13 de março de 2018;1836;1869
14 de março de 2018;1935;2219
15 de março de 2018;1796;2080
16 de março de 2018;1089;1214
17 de março de 2018;2255;2423
18 de março de 2018;1987;2071
19 de março de 2018;1650;1550
20 de março de 2018;1651;1944
21 de março de 2018;1863;2002
22 de março de 2018;1801;2052
23 de março de 2018;1180;1356
24 de março de 2018;2175;2436
25 de março de 2018;1762;1927
26 de março de 2018;1653;1562
27 de março de 2018;1497;1547
28 de março de 2018;1511;1628
29 de março de 2018;1160;1297
30 de março de 2018;904;962
31 de março de 2018;1400;1710
1 de abril de 2018;1809;2035
2 de abril de 2018;1919;2000
3 de abril de 2018;1977;2215
4 de abril de 2018;2042;2242
5 de abril de 2018;1900;2017
6 de abril de 2018;1110;1226
7 de abril de 2018;1878;2066
8 de abril de 2018;2009;2147
9 de abril de 2018;2288;2324
10 de abril de 2018;2225;2320
11 de abril de 2018;2185;2267
12 de abril de 2018;2018;2105
13 de abril de 2018;1140;1223
14 de abril de 2018;367;392
15 de abril de 2018;1744;1690
16 de abril de 2018;2214;2225
17 de abril de 2018;1120;1920
18 de abril de 2018;2215;2310
19 de abril de 2018;1993;2097
20 de abril de 2018;1389;1470
21 de abril de 2018;2086;2268
22 de abril de 2018;2058;2170
23 de abril de 2018;2153;2480
24 de abril de 2018;2223;2438
25 de abril de 2018;2155;2353
26 de abril de 2018;1937;2181
27 de abril de 2018;1157;1160
28 de abril de 2018;1912;2008
29 de abril de 2018;1417;1451
30 de abril de 2018;2429;2621
1 de maio de 2018;2107;2392
2 de maio de 2018;2224;2407
3 de maio de 2018;2113;2344
4 de maio de 2018;1179;1358
5 de maio de 2018;2327;2679
6 de maio de 2018;2099;2257
7 de maio de 2018;2242;2301
8 de maio de 2018;2211;2400
9 de maio de 2018;2137;2345
10 de maio de 2018;2128;2380
11 de maio de 2018;1013;1095
12 de maio de 2018;1277;1302
13 de maio de 2018;2029;2359
14 de maio de 2018;2443;2601
15 de maio de 2018;2329;2503
16 de maio de 2018;2403;2564
17 de maio de 2018;2242;2433
